iter	Passed	Remaining
0	53	53295
1	53	26841
2	57	19029
3	58	14446
4	58	11654
5	59	9788
6	59	8444
7	59	7433
8	60	6646
9	60	6017
10	61	5501
11	61	5072
12	61	4706
13	62	4396
14	62	4125
15	63	3886
16	63	3676
17	64	3492
18	64	3327
19	64	3179
20	65	3051
21	66	2935
22	66	2825
23	67	2726
24	67	2630
25	67	2542
26	72	2608
27	72	2526
28	73	2474
29	74	2415
30	75	2355
31	75	2298
32	76	2240
33	77	2189
34	77	2138
35	78	2091
36	78	2044
37	78	1999
38	79	1957
39	79	1917
40	80	1883
41	80	1845
42	81	1812
43	81	1777
44	82	1748
45	82	1718
46	83	1693
47	83	1664
48	84	1636
49	88	1673
50	88	1647
51	89	1623
52	89	1599
53	91	1601
54	92	1584
55	92	1564
56	93	1544
57	93	1524
58	94	1505
59	94	1487
60	95	1470
61	96	1454
62	96	1435
63	96	1417
64	97	1402
65	98	1387
66	98	1369
67	98	1353
68	99	1337
69	99	1322
70	99	1307
71	100	1292
72	104	1328
73	107	1350
74	108	1340
75	109	1328
76	110	1323
77	111	1313
78	111	1302
79	112	1292
80	112	1281
81	113	1273
82	113	1259
83	114	1249
84	154	1664
85	159	1693
86	160	1682
87	160	1667
88	164	1679
89	164	1663
90	164	1647
91	166	1646
92	167	1631
93	168	1622
94	168	1608
95	169	1593
96	169	1580
97	171	1578
98	172	1565
99	172	1553
100	173	1543
101	173	1531
102	174	1518
103	174	1505
104	175	1493
105	175	1480
106	175	1467
107	176	1455
108	176	1445
109	177	1437
110	177	1425
111	178	1413
112	178	1401
113	178	1389
114	179	1378
115	179	1367
116	179	1356
117	182	1360
118	182	1352
119	183	1342
120	183	1332
121	183	1322
122	184	1312
123	185	1311
124	186	1302
125	186	1295
126	187	1286
127	187	1278
128	188	1270
129	188	1263
130	189	1254
131	189	1246
132	190	1239
133	190	1230
134	191	1225
135	191	1219
136	192	1211
137	192	1202
138	192	1194
139	193	1186
140	193	1179
141	195	1181
142	196	1174
143	196	1170
144	197	1163
145	197	1156
146	198	1149
147	198	1145
148	200	1142
149	200	1137
150	201	1131
151	201	1126
152	202	1120
153	202	1114
154	203	1108
155	203	1102
156	204	1095
157	204	1089
158	205	1085
159	206	1082
160	206	1075
161	206	1070
162	207	1064
163	207	1058
164	207	1052
165	209	1053
166	210	1048
167	211	1045
168	211	1041
169	212	1036
170	212	1030
171	213	1027
172	214	1025
173	215	1022
174	216	1021
175	217	1016
176	217	1012
177	218	1007
178	218	1002
179	218	997
180	219	994
181	220	990
182	221	987
183	221	982
184	221	976
185	222	971
186	222	966
187	222	961
188	222	956
189	224	957
190	225	953
191	225	950
192	226	945
193	226	941
194	226	936
195	227	931
196	227	927
197	228	925
198	229	921
199	229	918
200	230	915
201	230	912
202	231	908
203	231	904
204	232	900
205	232	896
206	233	893
207	233	890
208	234	887
209	234	882
210	234	878
211	235	874
212	235	870
213	235	866
214	236	862
215	236	858
216	236	854
217	238	854
218	238	851
219	238	847
220	239	844
221	240	842
222	240	839
223	241	836
224	242	833
225	242	830
226	242	826
227	243	823
228	243	820
229	244	817
230	244	814
231	245	811
232	245	809
233	246	806
234	246	802
235	247	800
236	247	798
237	248	794
238	248	791
239	249	788
240	249	785
241	249	782
242	250	779
243	250	776
244	252	777
245	252	774
246	253	773
247	253	769
248	254	766
249	254	763
250	254	760
251	255	757
252	255	754
253	255	750
254	255	747
255	256	744
256	256	741
257	256	738
258	257	735
259	257	732
260	257	730
261	258	727
262	258	725
263	259	722
264	259	720
265	260	717
266	260	714
267	260	712
268	261	710
269	262	708
270	262	706
271	262	703
272	263	700
273	263	697
274	263	695
275	263	692
276	264	689
277	264	687
278	264	684
279	265	681
280	266	680
281	266	678
282	266	676
283	267	673
284	267	671
285	267	668
286	268	666
287	268	663
288	268	661
289	269	658
290	269	656
291	269	653
292	269	651
293	270	648
294	270	646
295	270	644
296	271	641
297	271	639
298	271	637
299	272	634
300	272	632
301	272	630
302	273	628
303	273	626
304	273	624
305	274	622
306	274	619
307	274	617
308	275	615
309	275	613
310	275	610
311	276	608
312	276	606
313	276	604
314	276	602
315	277	600
316	277	597
317	277	595
318	278	593
319	278	591
320	278	589
321	279	587
322	279	585
323	280	584
324	280	582
325	281	580
326	281	579
327	281	577
328	282	575
329	282	573
330	282	571
331	282	569
332	283	567
333	283	565
334	283	563
335	284	561
336	284	559
337	284	557
338	284	555
339	285	553
340	285	552
341	286	550
342	286	548
343	286	547
344	287	545
345	287	543
346	288	542
347	288	540
348	288	538
349	288	536
350	289	534
351	289	532
352	289	531
353	290	529
354	290	527
355	290	525
356	290	523
357	291	522
358	291	520
359	291	518
360	292	516
361	292	515
362	292	513
363	293	512
364	293	510
365	293	508
366	294	507
367	294	506
368	295	504
369	295	503
370	295	501
371	296	500
372	296	498
373	297	497
374	297	496
375	298	494
376	298	493
377	298	491
378	298	489
379	299	488
380	299	486
381	299	485
382	300	483
383	300	482
384	301	481
385	301	479
386	301	478
387	302	476
388	302	475
389	302	473
390	303	472
391	303	470
392	303	469
393	304	467
394	304	466
395	304	464
396	304	463
397	305	461
398	305	460
399	306	459
400	306	457
401	306	456
402	306	454
403	307	453
404	307	451
405	307	450
406	308	448
407	308	447
408	308	446
409	309	445
410	309	444
411	310	442
412	310	441
413	311	440
414	311	438
415	311	437
416	312	436
417	312	434
418	312	433
419	312	432
420	313	430
421	313	429
422	313	427
423	314	426
424	314	425
425	314	424
426	315	422
427	315	421
428	315	420
429	316	419
430	316	417
431	316	416
432	317	415
433	317	414
434	317	412
435	318	411
436	318	410
437	318	409
438	319	407
439	319	406
440	319	405
441	320	404
442	320	402
443	320	401
444	320	400
445	321	399
446	322	398
447	322	397
448	323	396
449	323	395
450	323	394
451	324	392
452	324	391
453	324	390
454	324	389
455	325	388
456	325	386
457	325	385
458	326	384
459	326	383
460	326	382
461	327	380
462	327	379
463	327	378
464	327	377
465	328	376
466	328	375
467	328	373
468	329	372
469	330	372
470	330	371
471	330	370
472	331	369
473	331	368
474	332	367
475	332	366
476	333	365
477	333	364
478	334	363
479	335	363
480	335	362
481	336	361
482	337	361
483	338	361
484	339	360
485	340	360
486	342	360
487	343	360
488	343	359
489	344	358
490	345	358
491	347	358
492	348	358
493	351	360
494	354	361
495	354	360
496	355	360
497	358	361
498	359	360
499	360	360
500	360	359
501	361	358
502	361	357
503	362	356
504	362	355
505	363	354
506	363	353
507	364	352
508	364	351
509	365	351
510	366	350
511	367	350
512	370	351
513	371	350
514	371	350
515	372	349
516	374	350
517	375	349
518	381	353
519	381	352
520	382	351
521	383	350
522	383	349
523	386	350
524	386	349
525	389	350
526	389	349
527	390	348
528	390	347
529	391	346
530	391	345
531	394	347
532	394	346
533	395	345
534	396	344
535	396	343
536	397	342
537	397	341
538	398	340
539	398	339
540	399	338
541	399	337
542	400	337
543	401	336
544	401	335
545	404	336
546	404	335
547	405	334
548	405	333
549	407	333
550	408	332
551	409	331
552	410	331
553	411	331
554	415	333
555	415	332
556	416	331
557	417	330
558	419	331
559	420	330
560	421	329
561	427	332
562	427	332
563	428	331
564	429	330
565	430	329
566	430	328
567	431	327
568	431	326
569	432	326
570	432	325
571	435	325
572	435	324
573	435	323
574	436	322
575	436	321
576	437	320
577	438	320
578	439	319
579	439	318
580	440	317
581	440	316
582	441	315
583	442	314
584	443	314
585	444	313
586	444	312
587	445	311
588	445	310
589	445	309
590	447	309
591	447	308
592	450	309
593	451	308
594	452	308
595	453	307
596	454	306
597	454	305
598	455	304
599	455	303
600	456	303
601	457	302
602	458	301
603	458	300
604	458	299
605	458	298
606	459	297
607	459	296
608	460	295
609	460	294
610	461	293
611	462	292
612	462	292
613	463	291
614	463	290
615	464	289
616	464	288
617	465	287
618	465	286
619	466	285
620	466	284
621	467	283
622	467	283
623	468	282
624	468	281
625	469	280
626	470	279
627	471	279
628	471	278
629	471	277
630	471	275
631	472	274
632	472	273
633	472	272
634	473	272
635	474	271
636	474	270
637	475	269
638	476	269
639	476	268
640	477	267
641	477	266
642	478	265
643	478	264
644	479	263
645	479	262
646	480	261
647	480	261
648	481	260
649	481	259
650	482	258
651	482	257
652	483	256
653	484	256
654	484	255
655	485	254
656	485	253
657	485	252
658	486	251
659	486	250
660	486	249
661	487	248
662	488	248
663	488	247
664	489	246
665	490	245
666	490	244
667	491	244
668	492	243
669	493	242
670	493	241
671	494	241
672	494	240
673	495	239
674	495	238
675	496	238
676	497	237
677	498	236
678	499	236
679	499	235
680	499	234
681	500	233
682	500	232
683	500	231
684	501	230
685	501	229
